Reg,ParkName,DayVisits,OtherLodging,Acres,SqMiles,Camping
A,Cape Krusenstern National Monument,15000.0,0.0,649096.15,"1,014.21","6,375.00"
A,Kenai Fjords National Park,346534.0,0.0,669650.05,"1,046.33","2,162.00"
A,Kobuk Valley National Park,15500.0,0.0,1750716.16,"2,735.49","7,050.00"
A,Yukon-Charley Rivers National Preserve,1146.0,0.0,2523512.44,"3,942.99","3,063.00"
A,Bering Land Bridge National Preserve,2642.0,0.0,2697391.01,"4,214.67","1,123.00"
A,Noatak National Preserve,17000.0,0.0,6587071.39,"10,292.30","5,500.00"
IM,Alibates Flint Quarries National Monument,8153.0,0.0,1370.97,2.14,0.00
IM,Aztec Ruins National Monument,57692.0,0.0,318.4,0.50,0.00
IM,Bandelier National Monument,198478.0,0.0,33676.67,52.62,"10,533.00"
IM,Canyon De Chelly National Monument,821406.0,23259.0,83840.0,131.00,"11,918.00"
IM,Capulin Volcano National Monument,60132.0,0.0,792.84,1.24,0.00
IM,Casa Grande Ruins National Monument,75752.0,0.0,472.5,0.74,0.00
IM,Cedar Breaks National Monument,899676.0,0.0,6154.6,9.62,"4,277.00"
IM,Chiricahua National Monument,51277.0,0.0,12024.73,18.79,"11,674.00"
IM,Colorado National Monument,391075.0,0.0,20536.39,32.09,"31,161.00"
IM,Devils Tower National Monument,496210.0,0.0,1347.21,2.11,"17,383.00"
IM,Dinosaur National Monument,304312.0,0.0,210281.92,328.57,"65,402.00"
IM,El Malpais National Monument,157440.0,0.0,114347.11,178.67,0.00
IM,El Morro National Monument,59422.0,0.0,1278.72,2.00,"2,995.00"
IM,Florissant Fossil Beds National Monument,73564.0,0.0,5998.09,9.37,0.00
IM,Fort Union National Monument,11953.0,0.0,720.6,1.13,0.00
IM,Fossil Butte National Monument,20737.0,0.0,8198.0,12.81,0.00
IM,Gila Cliff Dwellings National Monument,41519.0,0.0,533.13,0.83,0.00
IM,Hovenweep National Monument,42862.0,0.0,784.93,1.23,"2,395.00"
IM,Little Bighorn Battlefield National Monument,332328.0,0.0,765.34,1.20,0.00
IM,Montezuma Castle National Monument,392168.0,0.0,1015.52,1.59,0.00
IM,Natural Bridges National Monument,101843.0,0.0,7636.49,11.93,"7,015.00"
IM,Navajo National Monument,65705.0,0.0,360.0,0.56,"3,377.00"
IM,Organ Pipe Cactus National Monument,234186.0,0.0,330688.86,516.70,"27,178.00"
IM,Rainbow Bridge National Monument,86369.0,0.0,160.0,0.25,0.00
IM,Salinas Pueblo Missions National Monument,32414.0,0.0,1071.42,1.67,0.00
IM,Sunset Crater Volcano National Monument,60233.0,0.0,3040.0,4.75,0.00
IM,Timpanogos Cave National Monument,91261.0,0.0,250.0,0.39,0.00
IM,Tonto National Monument,38048.0,0.0,1120.0,1.75,0.00
IM,Tuzigoot National Monument,104604.0,0.0,811.89,1.27,0.00
IM,Walnut Canyon National Monument,152444.0,0.0,3529.26,5.51,0.00
IM,White Sands National Monument,555793.0,0.0,143733.25,224.58,"4,331.00"
IM,Wupatki National Monument,223172.0,0.0,35422.13,55.35,8.00
IM,Arches National Park,1585718.0,0.0,76678.98,119.81,"47,878.00"
IM,Big Bend National Park,388290.0,48280.0,801163.21,"1,251.82","145,425.00"
IM,Black Canyon of the Gunnison National Park,238018.0,0.0,30749.75,48.05,"32,884.00"
IM,Bryce Canyon National Park,2365110.0,56844.0,35835.08,55.99,"103,644.00"
