Listing_ID,Brand,Year,Mileage_km,Engine_Size_L,Horsepower,Fuel_Type,Transmission,Doors,Owner_Count,Accident_History,Region,Price_CAD
AV10394,Chevrolet,2023,39488.0,1.5,160.0,Gasoline,Automatic,2,2,1.0,Scarborough,24340.0
AV10514,Hyundai,2011,320452.0,1.5,178.0,Diesel,Automatic,4,5,0.0,Vaughan,7552.0
AV10162,Chevrolet,2019,129853.0,2.0,214.0,Gasoline,Manual,4,3,0.0,Vaughan,15404.0
AV10101,Chevrolet,2005,123922.0,2.2,216.0,Gasoline,Manual,4,1,2.0,Scarborough,7019.0
AV10360,Volkswagen,2011,158207.0,2.0,202.0,Gasoline,Manual,4,4,1.0,Brampton,9679.0
AV10456,Toyota,2018,126521.0,2.1,193.0,Electric,Automatic,4,4,0.0,Mississauga,17595.0
AV10132,Nissan,2009,296999.0,1.5,169.0,Gasoline,Manual,4,1,0.0,Scarborough,6510.0
AV10003,Nissan,2017,167471.0,1.7,199.0,Hybrid,Automatic,4,2,0.0,Brampton,12144.0
AV10316,Nissan,2005,361122.0,2.1,193.0,Gasoline,Manual,4,2,0.0,Scarborough,4782.0
AV10118,Honda,2007,141947.0,2.2,180.0,Hybrid,Automatic,4,2,0.0,Scarborough,5131.0
AV10065,Honda,2008,206180.0,1.8,219.0,Gasoline,Automatic,4,3,3.0,Vaughan,5484.0
AV10499,Honda,2014,167258.0,1.2,95.0,Hybrid,Auto ,2,2,0.0,Vaughan,7410.0
AV10479,Chevrolet,2007,324637.0,1.4,122.0,Diesel,Manual,4,1,0.0,Mississauga,1824.0
AV10357,Ford,2018,144540.0,1.8,182.0,Gasoline,Automatic,2,2,0.0,Markham,14313.0
AV10246,Chevrolet,2012,189687.0,1.7,160.0,Gasoline,Automatic,4,1,2.0,Toronto,5463.0
AV10051,Volkswagen,2013,233451.0,1.3,166.0,Electric,Automatic,4,3,2.0,Mississauga,7850.0
AV10388,Nissan,2009,286473.0,1.4,152.0,diesel ,Manual,4,4,0.0,Brampton,5326.0
AV10384,Nissan,2008,303179.0,,135.0,Gasoline,Automatic,4,2,0.0,Scarborough,2514.0
AV10115,Volkswagen,2023,28096.0,,163.0,Gasoline,Automatic,4,3,0.0,Brampton,26176.0
AV10138,Volkswagen,2012,227770.0,1.8,135.0,Gasoline,Automatic,4,2,0.0,Mississauga,7915.0
AV10244,Honda,2015,138236.0,2.0,207.0,Gasoline,Manual,2,4,0.0,Brampton,10963.0
AV10280,Hyundai,2009,254325.0,1.3,143.0,Gasoline,Automatic,2,2,0.0,Markham,
AV10089,Volkswagen,2018,94402.0,1.6,183.0,GASOLINE,Manual,4,4,2.0,Scarborough,13638.0
AV10468,Volkswagen,2020,87313.0,,130.0,GASOLINE,Automatic,4,1,1.0,Toronto,16660.0
AV10328,Toyota,2014,165054.0,1.4,144.0,GASOLINE,Automatic,4,1,0.0,Brampton,8854.0
AV10495,Nissan,2016,142224.0,1.8,200.0,Gasoline,Automatic,4,3,0.0,Brampton,10867.0
AV10507,Honda,2005,363229.0,,,Hybrid,auto,4,1,3.0,Toronto,7329.0
AV10504,Volkswagen,2005,412086.0,1.1,95.0,Gasoline,Automatic,4,3,0.0,Scarborough,5003.0
AV10216,Honda,2013,121035.0,1.9,181.0,Diesel,Automatic,4,1,1.0,Brampton,6801.0
AV10272,BMW,2014,206827.0,2.3,,Hybrid,Manual,4,2,0.0,Brampton,16517.0
AV10270,Honda,2005,378148.0,1.3,178.0,Gasoline,Automatic,4,4,0.0,Toronto,4585.0
AV10023,Volkswagen,2016,141413.0,1.7,172.0,Gasoline,Manual,4,3,0.0,Scarborough,9988.0
AV10327,Hyundai,2010,211194.0,1.2,142.0,Electric,Automatic,2,2,0.0,Mississauga,6708.0
AV10377,Hyundai,2008,364979.0,1.1,95.0,GASOLINE,AUTOMATIC,4,4,0.0,Markham,2433.0
